Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
JPM260501P00330000,16.8,17.25,19.65,2026-04-21 13:12:29.000000,2026-05-01,330.0,put,0.0,0.0,0.2729,311.61,0.045,0.045,0.045
JPM260501C00332500,0.05,0.03,0.05,2026-04-27 15:37:40.000000,2026-05-01,332.5,call,107.0,39.0,0.2742,311.61,0.045,0.045,0.045
JPM260501P00332500,0.0,19.6,22.15,2026-04-28 13:26:20.997554,2026-05-01,332.5,put,0.0,0.0,0.36761631341156126,311.61,0.045,0.045,0.045
JPM260501C00335000,0.03,0.03,0.04,2026-04-27 15:08:31.000000,2026-05-01,335.0,call,183.0,16.0,0.2964,311.61,0.045,0.045,0.045
JPM260501C00337500,0.05,0.0,0.1,2026-04-27 11:00:35.000000,2026-05-01,337.5,call,88.0,5.0,0.3381,311.61,0.045,0.045,0.045
JPM260501P00337500,0.0,24.75,27.1,2026-04-28 13:26:20.998430,2026-05-01,337.5,put,0.0,0.0,0.313,311.61,0.045,0.045,0.045
JPM260501C00340000,0.01,0.01,0.02,2026-04-27 15:24:39.000000,2026-05-01,340.0,call,120.0,108.0,0.3169,311.61,0.045,0.045,0.045
JPM260501P00340000,0.0,27.25,29.65,2026-04-28 13:26:20.998516,2026-05-01,340.0,put,0.0,0.0,0.3884,311.61,0.045,0.045,0.045
JPM260501C00342500,0.2,0.0,0.67,2026-04-27 14:32:01.000000,2026-05-01,342.5,call,0.0,2.0,0.5295,311.61,0.045,0.045,0.045
JPM260501P00342500,0.0,29.75,32.1,2026-04-28 13:26:20.998583,2026-05-01,342.5,put,0.0,0.0,0.3627,311.61,0.045,0.045,0.045
JPM260501C00345000,0.15,0.0,0.35,2026-04-16 10:48:53.000000,2026-05-01,345.0,call,17.0,0.0,0.4408,311.61,0.045,0.045,0.045
JPM260501P00345000,0.0,32.2,34.6,2026-04-28 13:26:21.003208,2026-05-01,345.0,put,0.0,0.0,0.5571344922258169,311.61,0.045,0.045,0.045
JPM260501C00350000,0.05,0.0,0.01,2026-04-24 13:04:42.000000,2026-05-01,350.0,call,21.0,0.0,0.3702,311.61,0.045,0.045,0.045
JPM260501P00350000,0.0,36.9,39.75,2026-04-28 13:26:21.007674,2026-05-01,350.0,put,0.0,0.0,0.5595285146094928,311.61,0.045,0.045,0.045
JPM260501C00355000,0.0,0.0,2.13,2026-04-28 13:26:21.007739,2026-05-01,355.0,call,0.0,0.0,0.8723,311.61,0.045,0.045,0.045
JPM260501P00355000,0.0,41.9,44.75,2026-04-28 13:26:21.012179,2026-05-01,355.0,put,0.0,0.0,0.6204385805519899,311.61,0.045,0.045,0.045
