Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
AAPL260501P00120000,0.06,0.0,0.01,2026-04-21 09:45:08.000000,2026-05-01,120.0,put,1.0,0.0,2.3167,267.8699,0.045,0.045,0.045
AAPL260501P00125000,0.01,0.0,0.01,2026-04-24 11:27:47.000000,2026-05-01,125.0,put,2000.0,0.0,2.2038,267.8699,0.045,0.045,0.045
AAPL260501P00130000,0.01,0.0,0.01,2026-04-24 11:27:44.000000,2026-05-01,130.0,put,2000.0,0.0,2.0953,267.8699,0.045,0.045,0.045
AAPL260501P00135000,0.01,0.0,0.01,2026-04-27 09:38:57.000000,2026-05-01,135.0,put,21941.0,5.0,1.9908,267.8699,0.045,0.045,0.045
AAPL260501P00140000,0.01,0.0,0.21,2026-04-14 11:59:44.000000,2026-05-01,140.0,put,10.0,0.0,1.89,267.8699,0.045,0.045,0.045
AAPL260501P00145000,0.01,0.0,0.21,2026-04-14 10:11:47.000000,2026-05-01,145.0,put,102.0,0.0,1.7926,267.8699,0.045,0.045,0.045
AAPL260501P00150000,0.01,0.0,0.04,2026-04-14 11:30:19.000000,2026-05-01,150.0,put,7.0,0.0,1.6984,267.8699,0.045,0.045,0.045
AAPL260501P00155000,0.03,0.0,0.03,2026-04-16 11:23:49.000000,2026-05-01,155.0,put,3.0,0.0,1.6072,267.8699,0.045,0.045,0.045
AAPL260501P00160000,0.02,0.0,0.05,2026-04-16 12:36:21.000000,2026-05-01,160.0,put,57.0,0.0,1.7367,267.8699,0.045,0.045,0.045
AAPL260501P00165000,0.01,0.0,0.03,2026-04-20 10:19:39.000000,2026-05-01,165.0,put,490.0,0.0,1.5659,267.8699,0.045,0.045,0.045
AAPL260501C00170000,0.0,96.0,99.4,2026-04-28 13:23:34.041143,2026-05-01,170.0,call,0.0,0.0,1.646,267.8699,0.045,0.045,0.045
AAPL260501P00170000,0.04,0.0,0.05,2026-04-16 11:25:37.000000,2026-05-01,170.0,put,297.0,0.0,1.5458,267.8699,0.045,0.045,0.045
AAPL260501P00175000,0.01,0.0,0.01,2026-04-27 09:43:17.000000,2026-05-01,175.0,put,387.0,1.0,1.2682,267.8699,0.045,0.045,0.045
AAPL260501P00180000,0.01,0.0,0.11,2026-04-27 10:21:23.000000,2026-05-01,180.0,put,586.0,255.0,1.4794,267.8699,0.045,0.045,0.045
AAPL260501P00185000,0.01,0.0,0.39,2026-04-20 15:25:53.000000,2026-05-01,185.0,put,138.0,0.0,1.6205,267.8699,0.045,0.045,0.045
AAPL260501C00190000,81.02,76.0,79.55,2026-04-24 12:33:35.000000,2026-05-01,190.0,call,12.0,0.0,1.4032,267.8699,0.045,0.045,0.045
AAPL260501P00190000,0.02,0.0,0.03,2026-04-27 15:15:38.000000,2026-05-01,190.0,put,453.0,109.0,1.1673,267.8699,0.045,0.045,0.045
AAPL260501C00195000,63.92,71.15,74.35,2026-04-14 10:49:13.000000,2026-05-01,195.0,call,1.0,0.0,1.2597,267.8699,0.045,0.045,0.045
AAPL260501P00195000,0.01,0.0,0.05,2026-04-27 13:26:42.000000,2026-05-01,195.0,put,101.0,3.0,1.1094,267.8699,0.045,0.045,0.045
AAPL260501C00200000,68.0,66.75,68.75,2026-04-27 15:36:31.000000,2026-05-01,200.0,call,42.0,2.0,1.163,267.8699,0.045,0.045,0.045
AAPL260501P00200000,0.02,0.0,0.03,2026-04-27 15:39:42.000000,2026-05-01,200.0,put,2630.0,80.0,1.0056,267.8699,0.045,0.045,0.045
AAPL260501C00205000,60.0,61.15,64.55,2026-04-15 11:53:07.000000,2026-05-01,205.0,call,7.0,0.0,1.1965,267.8699,0.045,0.045,0.045
AAPL260501P00205000,0.04,0.01,0.04,2026-04-27 15:14:08.000000,2026-05-01,205.0,put,355.0,544.0,0.9481,267.8699,0.045,0.045,0.045
AAPL260501C00210000,60.83,56.15,59.5,2026-04-24 09:33:00.000000,2026-05-01,210.0,call,57.0,0.0,1.0738,267.8699,0.045,0.045,0.045
AAPL260501P00210000,0.04,0.02,0.04,2026-04-27 15:39:19.000000,2026-05-01,210.0,put,2666.0,863.0,0.8864,267.8699,0.045,0.045,0.045
AAPL260501P00215000,0.03,0.03,0.04,2026-04-27 13:47:20.000000,2026-05-01,215.0,put,927.0,55.0,0.8218,267.8699,0.045,0.045,0.045
AAPL260501C00220000,46.74,46.75,49.05,2026-04-27 12:13:15.000000,2026-05-01,220.0,call,216.0,4.0,0.9457,267.8699,0.045,0.045,0.045
AAPL260501P00220000,0.04,0.03,0.05,2026-04-27 15:15:50.000000,2026-05-01,220.0,put,1095.0,64.0,0.7551,267.8699,0.045,0.045,0.045
AAPL260501P00225000,0.06,0.05,0.07,2026-04-27 15:58:43.000000,2026-05-01,225.0,put,881.0,333.0,0.7112,267.8699,0.045,0.045,0.045
AAPL260501C00227500,0.0,38.75,41.95,2026-04-28 13:23:34.043508,2026-05-01,227.5,call,0.0,0.0,0.7687,267.8699,0.045,0.045,0.045
AAPL260501P00227500,0.08,0.05,0.09,2026-04-27 13:03:41.000000,2026-05-01,227.5,put,77.0,32.0,0.6845,267.8699,0.045,0.045,0.045
AAPL260501C00230000,37.58,36.25,39.4,2026-04-27 11:55:30.000000,2026-05-01,230.0,call,296.0,1.0,0.7041,267.8699,0.045,0.045,0.045
AAPL260501P00230000,0.08,0.07,0.11,2026-04-27 15:59:08.000000,2026-05-01,230.0,put,1560.0,268.0,0.6499,267.8699,0.045,0.045,0.045
AAPL260501C00232500,40.92,33.8,36.9,2026-04-23 14:24:15.000000,2026-05-01,232.5,call,33.0,0.0,0.6777,267.8699,0.045,0.045,0.045
AAPL260501P00232500,0.11,0.09,0.12,2026-04-27 15:09:18.000000,2026-05-01,232.5,put,38.0,49.0,0.6387,267.8699,0.045,0.045,0.045
AAPL260501C00235000,32.05,31.55,33.95,2026-04-27 12:04:01.000000,2026-05-01,235.0,call,176.0,10.0,0.5438,267.8699,0.045,0.045,0.045
AAPL260501P00235000,0.14,0.13,0.15,2026-04-27 15:48:05.000000,2026-05-01,235.0,put,1329.0,638.0,0.6233,267.8699,0.045,0.045,0.045
AAPL260501C00237500,29.21,28.9,32.2,2026-04-27 14:21:33.000000,2026-05-01,237.5,call,26.0,3.0,0.6831,267.8699,0.045,0.045,0.045
AAPL260501P00237500,0.18,0.16,0.19,2026-04-27 15:41:29.000000,2026-05-01,237.5,put,1317.0,213.0,0.6014,267.8699,0.045,0.045,0.045
AAPL260501C00240000,27.8,27.35,28.5,2026-04-27 15:19:29.000000,2026-05-01,240.0,call,3852.0,13.0,0.5823,267.8699,0.045,0.045,0.045
AAPL260501P00240000,0.22,0.22,0.24,2026-04-27 15:58:47.000000,2026-05-01,240.0,put,6160.0,657.0,0.5844,267.8699,0.045,0.045,0.045
AAPL260501C00242500,25.5,24.2,26.8,2026-04-27 10:36:11.000000,2026-05-01,242.5,call,107.0,1.0,0.566,267.8699,0.045,0.045,0.045
AAPL260501P00242500,0.32,0.29,0.33,2026-04-27 15:46:53.000000,2026-05-01,242.5,put,522.0,254.0,0.5702,267.8699,0.045,0.045,0.045
AAPL260501C00245000,22.68,22.8,24.0,2026-04-27 11:33:34.000000,2026-05-01,245.0,call,370.0,3.0,0.6286,267.8699,0.045,0.045,0.045
AAPL260501P00245000,0.44,0.41,0.43,2026-04-27 15:56:49.000000,2026-05-01,245.0,put,2507.0,1525.0,0.5599,267.8699,0.045,0.045,0.045
AAPL260501C00247500,25.28,20.3,21.6,2026-04-24 10:58:38.000000,2026-05-01,247.5,call,23.0,0.0,0.5841,267.8699,0.045,0.045,0.045
AAPL260501P00247500,0.56,0.57,0.61,2026-04-27 15:52:13.000000,2026-05-01,247.5,put,3078.0,673.0,0.5494,267.8699,0.045,0.045,0.045
AAPL260501C00250000,18.49,18.25,18.8,2026-04-27 15:59:10.000000,2026-05-01,250.0,call,1560.0,445.0,0.5327,267.8699,0.045,0.045,0.045
AAPL260501P00250000,0.79,0.78,0.8,2026-04-27 15:59:41.000000,2026-05-01,250.0,put,18668.0,2044.0,0.5366,267.8699,0.045,0.045,0.045
AAPL260501C00252500,16.5,16.05,16.85,2026-04-27 15:54:28.000000,2026-05-01,252.5,call,79.0,22.0,0.5502,267.8699,0.045,0.045,0.045
AAPL260501P00252500,1.08,1.06,1.09,2026-04-27 15:59:19.000000,2026-05-01,252.5,put,1393.0,1109.0,0.5277,267.8699,0.045,0.045,0.045
AAPL260501C00255000,14.28,13.95,14.45,2026-04-27 15:44:54.000000,2026-05-01,255.0,call,3615.0,116.0,0.5353,267.8699,0.045,0.045,0.045
AAPL260501P00255000,1.46,1.42,1.48,2026-04-27 15:59:58.000000,2026-05-01,255.0,put,4836.0,2177.0,0.5208,267.8699,0.045,0.045,0.045
AAPL260501C00257500,12.15,12.0,12.35,2026-04-27 15:39:11.000000,2026-05-01,257.5,call,524.0,272.0,0.5156,267.8699,0.045,0.045,0.045
